PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Sex_num,Embarked_num,Deck_num
1,0,3,male,22,1,0,7.25,S,C,0,0,0
2,1,1,female,38,1,0,71.2833,C,C,1,1,0
3,1,3,female,26,0,0,7.925,S,C,1,0,0
4,1,1,female,35,1,0,53.1,S,C,1,0,0
5,0,3,male,35,0,0,8.05,S,C,0,0,0
6,0,3,male,30,0,0,8.4583,Q,C,0,2,0
7,0,1,male,54,0,0,51.8625,S,E,0,0,1
8,0,3,male,2,3,1,21.075,S,C,0,0,0
9,1,3,female,27,0,2,11.1333,S,C,1,0,0
10,1,2,female,14,1,0,30.0708,C,C,1,1,0
11,1,3,female,4,1,1,16.7,S,G,1,0,2
12,1,1,female,58,0,0,26.55,S,C,1,0,0
13,0,3,male,20,0,0,8.05,S,C,0,0,0
14,0,3,male,39,1,5,31.275,S,C,0,0,0
15,0,3,female,14,0,0,7.8542,S,C,1,0,0
16,1,2,female,55,0,0,16.0,S,C,1,0,0
17,0,3,male,2,4,1,29.125,Q,C,0,2,0
18,1,2,male,30,0,0,13.0,S,C,0,0,0
19,0,3,female,31,1,0,18.0,S,C,1,0,0
20,1,3,female,30,0,0,7.225,C,C,1,1,0
21,0,2,male,35,0,0,26.0,S,C,0,0,0
22,1,2,male,34,0,0,13.0,S,D,0,0,3
23,1,3,female,15,0,0,8.0292,Q,C,1,2,0
24,1,1,male,28,0,0,35.5,S,A,0,0,4
25,0,3,female,8,3,1,21.075,S,C,1,0,0
26,1,3,female,38,1,5,31.3875,S,C,1,0,0
27,0,3,male,30,0,0,7.225,C,C,0,1,0
28,0,1,male,19,3,2,263.0,S,C,0,0,0
29,1,3,female,30,0,0,7.8792,Q,C,1,2,0
30,0,3,male,30,0,0,7.8958,S,C,0,0,0
31,0,1,male,40,0,0,27.7208,C,C,0,1,0
32,1,1,female,30,1,0,146.5208,C,B,1,1,5
33,1,3,female,30,0,0,7.75,Q,C,1,2,0
34,0,2,male,66,0,0,10.5,S,C,0,0,0
35,0,1,male,28,1,0,82.1708,C,C,0,1,0
36,0,1,male,42,1,0,52.0,S,C,0,0,0
37,1,3,male,30,0,0,7.2292,C,C,0,1,0
38,0,3,male,21,0,0,8.05,S,C,0,0,0
39,0,3,female,18,2,0,18.0,S,C,1,0,0
40,1,3,female,14,1,0,11.2417,C,C,1,1,0
41,0,3,female,40,1,0,9.475,S,C,1,0,0
42,0,2,female,27,1,0,21.0,S,C,1,0,0
43,0,3,male,30,0,0,7.8958,C,C,0,1,0
44,1,2,female,3,1,2,41.5792,C,C,1,1,0
45,1,3,female,19,0,0,7.8792,Q,C,1,2,0
46,0,3,male,30,0,0,8.05,S,C,0,0,0
47,0,3,male,30,1,0,15.5,Q,C,0,2,0
48,1,3,female,30,0,0,7.75,Q,C,1,2,0
49,0,3,male,30,2,0,21.6792,C,C,0,1,0
50,0,3,female,18,1,0,17.8,S,C,1,0,0
51,0,3,male,7,4,1,39.6875,S,C,0,0,0
52,0,3,male,21,0,0,7.8,S,C,0,0,0
53,1,1,female,49,1,0,76.7292,C,D,1,1,3
54,1,2,female,29,1,0,26.0,S,C,1,0,0
55,0,1,male,65,0,1,61.9792,C,B,0,1,5
56,1,1,male,30,0,0,35.5,S,C,0,0,0
57,1,2,female,21,0,0,10.5,S,C,1,0,0
58,0,3,male,28,0,0,7.2292,C,C,0,1,0
59,1,2,female,5,1,2,27.75,S,C,1,0,0
60,0,3,male,11,5,2,46.9,S,C,0,0,0
61,0,3,male,22,0,0,7.2292,C,C,0,1,0
62,1,1,female,38,0,0,80.0,S,B,1,0,5
63,0,1,male,45,1,0,83.475,S,C,0,0,0
64,0,3,male,4,3,2,27.9,S,C,0,0,0
65,0,1,male,30,0,0,27.7208,C,C,0,1,0
66,1,3,male,30,1,1,15.2458,C,C,0,1,0
67,1,2,female,29,0,0,10.5,S,F,1,0,6
68,0,3,male,19,0,0,8.1583,S,C,0,0,0
69,1,3,female,17,4,2,7.925,S,C,1,0,0
70,0,3,male,26,2,0,8.6625,S,C,0,0,0
71,0,2,male,32,0,0,10.5,S,C,0,0,0
72,0,3,female,16,5,2,46.9,S,C,1,0,0
73,0,2,male,21,0,0,73.5,S,C,0,0,0
74,0,3,male,26,1,0,14.4542,C,C,0,1,0
75,1,3,male,32,0,0,56.4958,S,C,0,0,0
76,0,3,male,25,0,0,7.65,S,G,0,0,2
77,0,3,male,30,0,0,7.8958,S,C,0,0,0
78,0,3,male,30,0,0,8.05,S,C,0,0,0
79,1,2,male,1,0,2,29.0,S,C,0,0,0
80,1,3,female,30,0,0,12.475,S,C,1,0,0
81,0,3,male,22,0,0,9.0,S,C,0,0,0
82,1,3,male,29,0,0,9.5,S,C,0,0,0
83,1,3,female,30,0,0,7.7875,Q,C,1,2,0
84,0,1,male,28,0,0,47.1,S,C,0,0,0
85,1,2,female,17,0,0,10.5,S,C,1,0,0
86,1,3,female,33,3,0,15.85,S,C,1,0,0
87,0,3,male,16,1,3,34.375,S,C,0,0,0
88,0,3,male,30,0,0,8.05,S,C,0,0,0
89,1,1,female,23,3,2,263.0,S,C,1,0,0
90,0,3,male,24,0,0,8.05,S,C,0,0,0
91,0,3,male,29,0,0,8.05,S,C,0,0,0
92,0,3,male,20,0,0,7.8542,S,C,0,0,0
93,0,1,male,46,1,0,61.175,S,E,0,0,1
94,0,3,male,26,1,2,20.575,S,C,0,0,0
95,0,3,male,59,0,0,7.25,S,C,0,0,0
96,0,3,male,30,0,0,8.05,S,C,0,0,0
97,0,1,male,71,0,0,34.6542,C,A,0,1,4
98,1,1,male,23,0,1,63.3583,C,D,0,1,3
99,1,2,female,34,0,1,23.0,S,C,1,0,0
100,0,2,male,34,1,0,26.0,S,C,0,0,0
101,0,3,female,28,0,0,7.8958,S,C,1,0,0
102,0,3,male,30,0,0,7.8958,S,C,0,0,0
103,0,1,male,21,0,1,77.2875,S,D,0,0,3
104,0,3,male,33,0,0,8.6542,S,C,0,0,0
105,0,3,male,37,2,0,7.925,S,C,0,0,0
106,0,3,male,28,0,0,7.8958,S,C,0,0,0
107,1,3,female,21,0,0,7.65,S,C,1,0,0
108,1,3,male,30,0,0,7.775,S,C,0,0,0
109,0,3,male,38,0,0,7.8958,S,C,0,0,0
110,1,3,female,30,1,0,24.15,Q,C,1,2,0
111,0,1,male,47,0,0,52.0,S,C,0,0,0
112,0,3,female,14,1,0,14.4542,C,C,1,1,0
113,0,3,male,22,0,0,8.05,S,C,0,0,0
114,0,3,female,20,1,0,9.825,S,C,1,0,0
115,0,3,female,17,0,0,14.4583,C,C,1,1,0
116,0,3,male,21,0,0,7.925,S,C,0,0,0
117,0,3,male,70,0,0,7.75,Q,C,0,2,0
118,0,2,male,29,1,0,21.0,S,C,0,0,0
119,0,1,male,24,0,1,247.5208,C,B,0,1,5
120,0,3,female,2,4,2,31.275,S,C,1,0,0
121,0,2,male,21,2,0,73.5,S,C,0,0,0
122,0,3,male,30,0,0,8.05,S,C,0,0,0
123,0,2,male,32,1,0,30.0708,C,C,0,1,0
124,1,2,female,32,0,0,13.0,S,E,1,0,1
125,0,1,male,54,0,1,77.2875,S,D,0,0,3
126,1,3,male,12,1,0,11.2417,C,C,0,1,0
127,0,3,male,30,0,0,7.75,Q,C,0,2,0
128,1,3,male,24,0,0,7.1417,S,C,0,0,0
129,1,3,female,30,1,1,22.3583,C,E,1,1,1
130,0,3,male,45,0,0,6.975,S,C,0,0,0
131,0,3,male,33,0,0,7.8958,C,C,0,1,0
132,0,3,male,20,0,0,7.05,S,C,0,0,0
133,0,3,female,47,1,0,14.5,S,C,1,0,0
134,1,2,female,29,1,0,26.0,S,C,1,0,0
135,0,2,male,25,0,0,13.0,S,C,0,0,0
136,0,2,male,23,0,0,15.0458,C,C,0,1,0
137,1,1,female,19,0,2,26.2833,S,D,1,0,3
138,0,1,male,37,1,0,53.1,S,C,0,0,0
139,0,3,male,16,0,0,9.2167,S,C,0,0,0
140,0,1,male,24,0,0,79.2,C,B,0,1,5
141,0,3,female,30,0,2,15.2458,C,C,1,1,0
142,1,3,female,22,0,0,7.75,S,C,1,0,0
143,1,3,female,24,1,0,15.85,S,C,1,0,0
144,0,3,male,19,0,0,6.75,Q,C,0,2,0
145,0,2,male,18,0,0,11.5,S,C,0,0,0
146,0,2,male,19,1,1,36.75,S,C,0,0,0
147,1,3,male,27,0,0,7.7958,S,C,0,0,0
148,0,3,female,9,2,2,34.375,S,C,1,0,0
149,0,2,male,36,0,2,26.0,S,F,0,0,6
150,0,2,male,42,0,0,13.0,S,C,0,0,0
151,0,2,male,51,0,0,12.525,S,C,0,0,0
152,1,1,female,22,1,0,66.6,S,C,1,0,0
153,0,3,male,56,0,0,8.05,S,C,0,0,0
154,0,3,male,40,0,2,14.5,S,C,0,0,0
155,0,3,male,30,0,0,7.3125,S,C,0,0,0
156,0,1,male,51,0,1,61.3792,C,C,0,1,0
157,1,3,female,16,0,0,7.7333,Q,C,1,2,0
158,0,3,male,30,0,0,8.05,S,C,0,0,0
159,0,3,male,30,0,0,8.6625,S,C,0,0,0
160,0,3,male,30,8,2,69.55,S,C,0,0,0
161,0,3,male,44,0,1,16.1,S,C,0,0,0
162,1,2,female,40,0,0,15.75,S,C,1,0,0
163,0,3,male,26,0,0,7.775,S,C,0,0,0
164,0,3,male,17,0,0,8.6625,S,C,0,0,0
165,0,3,male,1,4,1,39.6875,S,C,0,0,0
166,1,3,male,9,0,2,20.525,S,C,0,0,0
167,1,1,female,30,0,1,55.0,S,E,1,0,1
168,0,3,female,45,1,4,27.9,S,C,1,0,0
169,0,1,male,30,0,0,25.925,S,C,0,0,0
170,0,3,male,28,0,0,56.4958,S,C,0,0,0
171,0,1,male,61,0,0,33.5,S,B,0,0,5
172,0,3,male,4,4,1,29.125,Q,C,0,2,0
173,1,3,female,1,1,1,11.1333,S,C,1,0,0
174,0,3,male,21,0,0,7.925,S,C,0,0,0
175,0,1,male,56,0,0,30.6958,C,A,0,1,4
176,0,3,male,18,1,1,7.8542,S,C,0,0,0
177,0,3,male,30,3,1,25.4667,S,C,0,0,0
178,0,1,female,50,0,0,28.7125,C,C,1,1,0
179,0,2,male,30,0,0,13.0,S,C,0,0,0
180,0,3,male,36,0,0,0.0,S,C,0,0,0
181,0,3,female,30,8,2,69.55,S,C,1,0,0
182,0,2,male,30,0,0,15.05,C,C,0,1,0
183,0,3,male,9,4,2,31.3875,S,C,0,0,0
184,1,2,male,1,2,1,39.0,S,F,0,0,6
185,1,3,female,4,0,2,22.025,S,C,1,0,0
186,0,1,male,30,0,0,50.0,S,A,0,0,4
187,1,3,female,30,1,0,15.5,Q,C,1,2,0
188,1,1,male,45,0,0,26.55,S,C,0,0,0
189,0,3,male,40,1,1,15.5,Q,C,0,2,0
190,0,3,male,36,0,0,7.8958,S,C,0,0,0
191,1,2,female,32,0,0,13.0,S,C,1,0,0
192,0,2,male,19,0,0,13.0,S,C,0,0,0
193,1,3,female,19,1,0,7.8542,S,C,1,0,0
194,1,2,male,3,1,1,26.0,S,F,0,0,6
195,1,1,female,44,0,0,27.7208,C,B,1,1,5
196,1,1,female,58,0,0,146.5208,C,B,1,1,5
197,0,3,male,30,0,0,7.75,Q,C,0,2,0
198,0,3,male,42,0,1,8.4042,S,C,0,0,0
199,1,3,female,30,0,0,7.75,Q,C,1,2,0
200,0,2,female,24,0,0,13.0,S,C,1,0,0
201,0,3,male,28,0,0,9.5,S,C,0,0,0
202,0,3,male,30,8,2,69.55,S,C,0,0,0
203,0,3,male,34,0,0,6.4958,S,C,0,0,0
204,0,3,male,46,0,0,7.225,C,C,0,1,0
205,1,3,male,18,0,0,8.05,S,C,0,0,0
206,0,3,female,2,0,1,10.4625,S,G,1,0,2
207,0,3,male,32,1,0,15.85,S,C,0,0,0
208,1,3,male,26,0,0,18.7875,C,C,0,1,0
209,1,3,female,16,0,0,7.75,Q,C,1,2,0
210,1,1,male,40,0,0,31.0,C,A,0,1,4
211,0,3,male,24,0,0,7.05,S,C,0,0,0
212,1,2,female,35,0,0,21.0,S,C,1,0,0
213,0,3,male,22,0,0,7.25,S,C,0,0,0
214,0,2,male,30,0,0,13.0,S,C,0,0,0
215,0,3,male,30,1,0,7.75,Q,C,0,2,0
216,1,1,female,31,1,0,113.275,C,D,1,1,3
217,1,3,female,27,0,0,7.925,S,C,1,0,0
218,0,2,male,42,1,0,27.0,S,C,0,0,0
219,1,1,female,32,0,0,76.2917,C,D,1,1,3
220,0,2,male,30,0,0,10.5,S,C,0,0,0
221,1,3,male,16,0,0,8.05,S,C,0,0,0
222,0,2,male,27,0,0,13.0,S,C,0,0,0
223,0,3,male,51,0,0,8.05,S,C,0,0,0
224,0,3,male,30,0,0,7.8958,S,C,0,0,0
225,1,1,male,38,1,0,90.0,S,C,0,0,0
226,0,3,male,22,0,0,9.35,S,C,0,0,0
227,1,2,male,19,0,0,10.5,S,C,0,0,0
228,0,3,male,20,0,0,7.25,S,C,0,0,0
229,0,2,male,18,0,0,13.0,S,C,0,0,0
230,0,3,female,30,3,1,25.4667,S,C,1,0,0
231,1,1,female,35,1,0,83.475,S,C,1,0,0
232,0,3,male,29,0,0,7.775,S,C,0,0,0
233,0,2,male,59,0,0,13.5,S,C,0,0,0
234,1,3,female,5,4,2,31.3875,S,C,1,0,0
235,0,2,male,24,0,0,10.5,S,C,0,0,0
236,0,3,female,30,0,0,7.55,S,C,1,0,0
237,0,2,male,44,1,0,26.0,S,C,0,0,0
238,1,2,female,8,0,2,26.25,S,C,1,0,0
239,0,2,male,19,0,0,10.5,S,C,0,0,0
240,0,2,male,33,0,0,12.275,S,C,0,0,0
241,0,3,female,30,1,0,14.4542,C,C,1,1,0
242,1,3,female,30,1,0,15.5,Q,C,1,2,0
243,0,2,male,29,0,0,10.5,S,C,0,0,0
244,0,3,male,22,0,0,7.125,S,C,0,0,0
245,0,3,male,30,0,0,7.225,C,C,0,1,0
246,0,1,male,44,2,0,90.0,Q,C,0,2,0
247,0,3,female,25,0,0,7.775,S,C,1,0,0
248,1,2,female,24,0,2,14.5,S,C,1,0,0
249,1,1,male,37,1,1,52.5542,S,D,0,0,3
250,0,2,male,54,1,0,26.0,S,C,0,0,0
251,0,3,male,30,0,0,7.25,S,C,0,0,0
252,0,3,female,29,1,1,10.4625,S,G,1,0,2
253,0,1,male,62,0,0,26.55,S,C,0,0,0
254,0,3,male,30,1,0,16.1,S,C,0,0,0
255,0,3,female,41,0,2,20.2125,S,C,1,0,0
256,1,3,female,29,0,2,15.2458,C,C,1,1,0
257,1,1,female,30,0,0,79.2,C,C,1,1,0
258,1,1,female,30,0,0,86.5,S,B,1,0,5
259,1,1,female,35,0,0,512.3292,C,C,1,1,0
260,1,2,female,50,0,1,26.0,S,C,1,0,0
261,0,3,male,30,0,0,7.75,Q,C,0,2,0
262,1,3,male,3,4,2,31.3875,S,C,0,0,0
263,0,1,male,52,1,1,79.65,S,E,0,0,1
264,0,1,male,40,0,0,0.0,S,B,0,0,5
265,0,3,female,30,0,0,7.75,Q,C,1,2,0
266,0,2,male,36,0,0,10.5,S,C,0,0,0
267,0,3,male,16,4,1,39.6875,S,C,0,0,0
268,1,3,male,25,1,0,7.775,S,C,0,0,0
269,1,1,female,58,0,1,153.4625,S,C,1,0,0
270,1,1,female,35,0,0,135.6333,S,C,1,0,0
271,0,1,male,30,0,0,31.0,S,C,0,0,0
272,1,3,male,25,0,0,0.0,S,C,0,0,0
273,1,2,female,41,0,1,19.5,S,C,1,0,0
274,0,1,male,37,0,1,29.7,C,C,0,1,0
275,1,3,female,30,0,0,7.75,Q,C,1,2,0
276,1,1,female,63,1,0,77.9583,S,D,1,0,3
277,0,3,female,45,0,0,7.75,S,C,1,0,0
278,0,2,male,30,0,0,0.0,S,C,0,0,0
279,0,3,male,7,4,1,29.125,Q,C,0,2,0
280,1,3,female,35,1,1,20.25,S,C,1,0,0
281,0,3,male,65,0,0,7.75,Q,C,0,2,0
282,0,3,male,28,0,0,7.8542,S,C,0,0,0
283,0,3,male,16,0,0,9.5,S,C,0,0,0
284,1,3,male,19,0,0,8.05,S,C,0,0,0
285,0,1,male,30,0,0,26.0,S,A,0,0,4
286,0,3,male,33,0,0,8.6625,C,C,0,1,0
287,1,3,male,30,0,0,9.5,S,C,0,0,0
288,0,3,male,22,0,0,7.8958,S,C,0,0,0
289,1,2,male,42,0,0,13.0,S,C,0,0,0
290,1,3,female,22,0,0,7.75,Q,C,1,2,0
291,1,1,female,26,0,0,78.85,S,C,1,0,0
292,1,1,female,19,1,0,91.0792,C,B,1,1,5
293,0,2,male,36,0,0,12.875,C,D,0,1,3
294,0,3,female,24,0,0,8.85,S,C,1,0,0
295,0,3,male,24,0,0,7.8958,S,C,0,0,0
296,0,1,male,30,0,0,27.7208,C,C,0,1,0
297,0,3,male,24,0,0,7.2292,C,C,0,1,0
298,0,1,female,2,1,2,151.55,S,C,1,0,0
299,1,1,male,30,0,0,30.5,S,C,0,0,0
300,1,1,female,50,0,1,247.5208,C,B,1,1,5
301,1,3,female,30,0,0,7.75,Q,C,1,2,0
302,1,3,male,30,2,0,23.25,Q,C,0,2,0
303,0,3,male,19,0,0,0.0,S,C,0,0,0
304,1,2,female,30,0,0,12.35,Q,E,1,2,1
305,0,3,male,30,0,0,8.05,S,C,0,0,0
306,1,1,male,1,1,2,151.55,S,C,0,0,0
307,1,1,female,30,0,0,110.8833,C,C,1,1,0
308,1,1,female,17,1,0,108.9,C,C,1,1,0
309,0,2,male,30,1,0,24.0,C,C,0,1,0
310,1,1,female,30,0,0,56.9292,C,E,1,1,1
311,1,1,female,24,0,0,83.1583,C,C,1,1,0
312,1,1,female,18,2,2,262.375,C,B,1,1,5
313,0,2,female,26,1,1,26.0,S,C,1,0,0
314,0,3,male,28,0,0,7.8958,S,C,0,0,0
315,0,2,male,43,1,1,26.25,S,C,0,0,0
316,1,3,female,26,0,0,7.8542,S,C,1,0,0
317,1,2,female,24,1,0,26.0,S,C,1,0,0
318,0,2,male,54,0,0,14.0,S,C,0,0,0
319,1,1,female,31,0,2,164.8667,S,C,1,0,0
320,1,1,female,40,1,1,134.5,C,E,1,1,1
321,0,3,male,22,0,0,7.25,S,C,0,0,0
322,0,3,male,27,0,0,7.8958,S,C,0,0,0
323,1,2,female,30,0,0,12.35,Q,C,1,2,0
324,1,2,female,22,1,1,29.0,S,C,1,0,0
325,0,3,male,30,8,2,69.55,S,C,0,0,0
326,1,1,female,36,0,0,135.6333,C,C,1,1,0
327,0,3,male,61,0,0,6.2375,S,C,0,0,0
328,1,2,female,36,0,0,13.0,S,D,1,0,3
329,1,3,female,31,1,1,20.525,S,C,1,0,0
330,1,1,female,16,0,1,57.9792,C,B,1,1,5
331,1,3,female,30,2,0,23.25,Q,C,1,2,0
332,0,1,male,46,0,0,28.5,S,C,0,0,0
333,0,1,male,38,0,1,153.4625,S,C,0,0,0
334,0,3,male,16,2,0,18.0,S,C,0,0,0
335,1,1,female,30,1,0,133.65,S,C,1,0,0
336,0,3,male,30,0,0,7.8958,S,C,0,0,0
337,0,1,male,29,1,0,66.6,S,C,0,0,0
338,1,1,female,41,0,0,134.5,C,E,1,1,1
339,1,3,male,45,0,0,8.05,S,C,0,0,0
340,0,1,male,45,0,0,35.5,S,T,0,0,7
341,1,2,male,2,1,1,26.0,S,F,0,0,6
342,1,1,female,24,3,2,263.0,S,C,1,0,0
343,0,2,male,28,0,0,13.0,S,C,0,0,0
344,0,2,male,25,0,0,13.0,S,C,0,0,0
345,0,2,male,36,0,0,13.0,S,C,0,0,0
346,1,2,female,24,0,0,13.0,S,F,1,0,6
347,1,2,female,40,0,0,13.0,S,C,1,0,0
348,1,3,female,30,1,0,16.1,S,C,1,0,0
349,1,3,male,3,1,1,15.9,S,C,0,0,0
350,0,3,male,42,0,0,8.6625,S,C,0,0,0
351,0,3,male,23,0,0,9.225,S,C,0,0,0
352,0,1,male,30,0,0,35.0,S,C,0,0,0
353,0,3,male,15,1,1,7.2292,C,C,0,1,0
354,0,3,male,25,1,0,17.8,S,C,0,0,0
355,0,3,male,30,0,0,7.225,C,C,0,1,0
356,0,3,male,28,0,0,9.5,S,C,0,0,0
357,1,1,female,22,0,1,55.0,S,E,1,0,1
358,0,2,female,38,0,0,13.0,S,C,1,0,0
359,1,3,female,30,0,0,7.8792,Q,C,1,2,0
360,1,3,female,30,0,0,7.8792,Q,C,1,2,0
361,0,3,male,40,1,4,27.9,S,C,0,0,0
362,0,2,male,29,1,0,27.7208,C,C,0,1,0
363,0,3,female,45,0,1,14.4542,C,C,1,1,0
364,0,3,male,35,0,0,7.05,S,C,0,0,0
365,0,3,male,30,1,0,15.5,Q,C,0,2,0
366,0,3,male,30,0,0,7.25,S,C,0,0,0
367,1,1,female,60,1,0,75.25,C,D,1,1,3
368,1,3,female,30,0,0,7.2292,C,C,1,1,0
369,1,3,female,30,0,0,7.75,Q,C,1,2,0
370,1,1,female,24,0,0,69.3,C,B,1,1,5
371,1,1,male,25,1,0,55.4417,C,E,0,1,1
372,0,3,male,18,1,0,6.4958,S,C,0,0,0
373,0,3,male,19,0,0,8.05,S,C,0,0,0
374,0,1,male,22,0,0,135.6333,C,C,0,1,0
375,0,3,female,3,3,1,21.075,S,C,1,0,0
376,1,1,female,30,1,0,82.1708,C,C,1,1,0
377,1,3,female,22,0,0,7.25,S,C,1,0,0
378,0,1,male,27,0,2,211.5,C,C,0,1,0
379,0,3,male,20,0,0,4.0125,C,C,0,1,0
380,0,3,male,19,0,0,7.775,S,C,0,0,0
381,1,1,female,42,0,0,227.525,C,C,1,1,0
382,1,3,female,1,0,2,15.7417,C,C,1,1,0
383,0,3,male,32,0,0,7.925,S,C,0,0,0
384,1,1,female,35,1,0,52.0,S,C,1,0,0
385,0,3,male,30,0,0,7.8958,S,C,0,0,0
386,0,2,male,18,0,0,73.5,S,C,0,0,0
387,0,3,male,1,5,2,46.9,S,C,0,0,0
388,1,2,female,36,0,0,13.0,S,C,1,0,0
389,0,3,male,30,0,0,7.7292,Q,C,0,2,0
390,1,2,female,17,0,0,12.0,C,C,1,1,0
391,1,1,male,36,1,2,120.0,S,B,0,0,5
392,1,3,male,21,0,0,7.7958,S,C,0,0,0
393,0,3,male,28,2,0,7.925,S,C,0,0,0
394,1,1,female,23,1,0,113.275,C,D,1,1,3
395,1,3,female,24,0,2,16.7,S,G,1,0,2
396,0,3,male,22,0,0,7.7958,S,C,0,0,0
397,0,3,female,31,0,0,7.8542,S,C,1,0,0
398,0,2,male,46,0,0,26.0,S,C,0,0,0
399,0,2,male,23,0,0,10.5,S,C,0,0,0
400,1,2,female,28,0,0,12.65,S,C,1,0,0
401,1,3,male,39,0,0,7.925,S,C,0,0,0
402,0,3,male,26,0,0,8.05,S,C,0,0,0
403,0,3,female,21,1,0,9.825,S,C,1,0,0
404,0,3,male,28,1,0,15.85,S,C,0,0,0
405,0,3,female,20,0,0,8.6625,S,C,1,0,0
406,0,2,male,34,1,0,21.0,S,C,0,0,0
407,0,3,male,51,0,0,7.75,S,C,0,0,0
408,1,2,male,3,1,1,18.75,S,C,0,0,0
409,0,3,male,21,0,0,7.775,S,C,0,0,0
410,0,3,female,30,3,1,25.4667,S,C,1,0,0
411,0,3,male,30,0,0,7.8958,S,C,0,0,0
412,0,3,male,30,0,0,6.8583,Q,C,0,2,0
413,1,1,female,33,1,0,90.0,Q,C,1,2,0
414,0,2,male,30,0,0,0.0,S,C,0,0,0
415,1,3,male,44,0,0,7.925,S,C,0,0,0
416,0,3,female,30,0,0,8.05,S,C,1,0,0
417,1,2,female,34,1,1,32.5,S,C,1,0,0
418,1,2,female,18,0,2,13.0,S,C,1,0,0
419,0,2,male,30,0,0,13.0,S,C,0,0,0
420,0,3,female,10,0,2,24.15,S,C,1,0,0
421,0,3,male,30,0,0,7.8958,C,C,0,1,0
422,0,3,male,21,0,0,7.7333,Q,C,0,2,0
423,0,3,male,29,0,0,7.875,S,C,0,0,0
424,0,3,female,28,1,1,14.4,S,C,1,0,0
425,0,3,male,18,1,1,20.2125,S,C,0,0,0
426,0,3,male,30,0,0,7.25,S,C,0,0,0
427,1,2,female,28,1,0,26.0,S,C,1,0,0
428,1,2,female,19,0,0,26.0,S,C,1,0,0
429,0,3,male,30,0,0,7.75,Q,C,0,2,0
430,1,3,male,32,0,0,8.05,S,E,0,0,1
431,1,1,male,28,0,0,26.55,S,C,0,0,0
432,1,3,female,30,1,0,16.1,S,C,1,0,0
433,1,2,female,42,1,0,26.0,S,C,1,0,0
434,0,3,male,17,0,0,7.125,S,C,0,0,0
435,0,1,male,50,1,0,55.9,S,E,0,0,1
436,1,1,female,14,1,2,120.0,S,B,1,0,5
437,0,3,female,21,2,2,34.375,S,C,1,0,0
438,1,2,female,24,2,3,18.75,S,C,1,0,0
439,0,1,male,64,1,4,263.0,S,C,0,0,0
440,0,2,male,31,0,0,10.5,S,C,0,0,0
441,1,2,female,45,1,1,26.25,S,C,1,0,0
442,0,3,male,20,0,0,9.5,S,C,0,0,0
443,0,3,male,25,1,0,7.775,S,C,0,0,0
444,1,2,female,28,0,0,13.0,S,C,1,0,0
445,1,3,male,30,0,0,8.1125,S,C,0,0,0
